verse_id,annotator_1_user_username,annotator_2_user_username,annotator_3_user_username,annotator_4_user_username,annotator_1_is_misogynistic,annotator_2_is_misogynistic,annotator_3_is_misogynistic,annotator_4_is_misogynistic,annotator_1_type_sexualization,annotator_2_type_sexualization,annotator_3_type_sexualization,annotator_4_type_sexualization,annotator_1_type_violence,annotator_2_type_violence,annotator_3_type_violence,annotator_4_type_violence,annotator_1_type_hate,annotator_2_type_hate,annotator_3_type_hate,annotator_4_type_hate,annotator_1_type_not_related,annotator_2_type_not_related,annotator_3_type_not_related,annotator_4_type_not_related,annotator_1_has_gender_stereotype,annotator_2_has_gender_stereotype,annotator_3_has_gender_stereotype,annotator_4_has_gender_stereotype,group_id
1000849__10,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__11,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,M,NM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,N,,2
1000849__12,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__13,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,NM,M,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,,Y,,Y,2
1000849__14,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,M,NM,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,N,N,,2
1000849__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__7,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1000849__8,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,M,NM,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,Y,N,,2
1000849__9,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1001688__1,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1001688__2,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1001688__3,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1001688__4,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1001688__5,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1001688__6,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10019810__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10019810__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10019810__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10019810__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10019810__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10019810__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
1002008__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,M,NM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,Y,N,,2
1002008__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,NM,NM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,N,,,2
1002008__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,M,NM,NM,NM,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Y,,,,2
1002008__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,M,NM,M,NM,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Y,,N,,2
1002008__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,M,NM,NM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,N,,,2
1002008__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,M,NM,NM,NM,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Y,,,,2
1002340__1,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,,,Y,Y,1
1002340__2,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1002340__3,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1002340__4,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1002340__5,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10048649__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,False,False,,,True,True,,,False,False,,,N,N,,,2
10048649__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,True,True,,,True,True,,,False,False,,,Y,Y,,,2
10048649__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,True,True,,,True,True,,,False,False,,,Y,Y,,,2
10048649__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,False,False,,,False,False,,,False,False,,,N,N,,,2
10048649__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,False,False,,,False,True,,,False,False,,,N,Y,,,2
10048649__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,M,M,,,True,True,,,True,True,,,True,True,,,False,False,,,Y,Y,,,2
10048649__7,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__6,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10055546__7,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,,,NM,NM,,,False,False,,,False,False,,,False,False,,,False,False,,,,,,,2
10059105__1,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10059105__2,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,Y,Y,Y,,1
10059105__3,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10059105__4,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,N,N,N,,1
10059105__5,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10077087__1,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,M,NM,M,,True,False,True,,False,False,False,,False,False,False,,False,False,False,,N,,N,,3
10077087__10,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,M,M,M,,True,True,True,,False,False,False,,False,False,False,,False,False,False,,N,N,N,,3
10077087__11,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10077087__2,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,M,M,M,,True,True,True,,False,False,False,,False,False,False,,False,False,False,,N,N,N,,3
10077087__3,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,M,NM,,False,True,False,,False,False,False,,False,False,False,,False,False,False,,,N,,,3
10077087__4,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,M,M,M,,True,True,True,,False,False,False,,False,False,False,,False,False,False,,N,N,N,,3
10077087__5,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10077087__6,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10077087__7,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,M,M,M,,True,True,True,,False,False,False,,False,False,False,,False,False,False,,N,N,N,,3
10077087__8,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10077087__9,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
1009423__1,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1009423__2,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1009423__3,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,,,Y,Y,1
1009423__4,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1009423__5,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,,,Y,Y,1
1009423__6,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10103583__1,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__2,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__3,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__4,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__5,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__6,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__7,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__8,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
10103583__9,eldalvarez09,rammsteinhoney,valle.hernandez.luis.fernandoo,,NM,NM,NM,,False,False,False,,False,False,False,,False,False,False,,False,False,False,,,,,,3
1011021__1,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,M,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,N,3
1011021__2,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,M,M,M,M,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,N,N,Y,N,3
1011021__3,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1011021__4,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,M,NM,NM,NM,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Y,,,,3
1011021__5,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1011021__6,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,M,M,NM,NM,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,N,N,,,3
1011021__7,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,M,M,M,NM,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,N,N,N,,3
1011021__8,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1011392__1,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1011392__2,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,M,M,M,M,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,Y,Y,Y,N,2
1011392__3,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,M,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,Y,,2
1011392__4,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,M,M,M,M,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,N,Y,Y,Y,2
1011392__5,flores.esquivel.luis.antonio2,jimenez.lopez.danakarol,angeel462,marfelisraduan,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,2
1011524__1,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1011524__2,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1011524__3,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1011524__4,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,M,M,M,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,,N,Y,Y,1
1011524__5,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1011524__6,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10119635__1,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10119635__10,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10119635__2,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,Y,Y,Y,,1
10119635__3,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,Y,Y,Y,,1
10119635__4,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,N,N,N,,1
10119635__5,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,Y,Y,Y,,1
10119635__6,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,Y,Y,Y,,1
10119635__7,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,N,N,N,,1
10119635__8,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
10119635__9,tania.gam,arturoca971,isaiaspachecoc,anaguvi33,M,M,M,NM,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Y,Y,Y,,1
1012622__1,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,M,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,Y,,4
1012622__2,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1012622__3,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1012622__4,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1012622__5,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013133__1,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013133__2,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013133__3,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013133__4,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,M,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,N,,4
1013133__5,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__1,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__2,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__3,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__4,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__5,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__6,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1013451__7,hortiz.pao,med978977,ayge.1904,anderguti,M,NM,NM,NM,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N,,,,4
1013451__8,hortiz.pao,med978977,ayge.1904,anderguti,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,4
1014993__1,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1014993__2,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1014993__3,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1014993__4,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1014993__5,rammsteinhoney,eldalvarez09,valle.hernandez.luis.fernandoo,cristinapertegas,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,3
1015141__1,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1015141__10,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1015141__2,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1015141__3,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,N,Y,1
1015141__4,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,M,M,M,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,,Y,Y,Y,1
1015141__5,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
1015141__6,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,N,Y,1
1015141__7,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,Y,Y,1
1015141__8,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,M,M,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,N,Y,1
1015141__9,anaguvi33,isaiaspachecoc,tania.gam,arturoca971,NM,NM,NM,NM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,1
