song_id,artist,title,n_verses,lyrics_len,release_date,release_year,decade,album,country,gender_or_group,genres_all,genre_main,is_misogynistic,type_sexualization,type_violence,type_hate,has_gender_stereotype,in_train,in_test
10170747,"Xinola, Natalie Garcia",Bendita tu Eres (Diosa),4,550,12/12/24,2024,2020,Mascaras,España,hombre,['pop'],pop,NM,,,,,True,False
10184200,Sobrepensante,Ego Herido,9,1611,02/01/24,2024,2020,Filosofía de Vida,Argentina,grupo,['trap'],trap,M,1,0,0,Y,True,False
10186688,Reality & KG970,Causas Pendientes,7,3556,20/03/24,2024,2020,Igual Que Nadie,España,hombre,"['hardcore', 'australian', 'melodic hardcore', 'funk', 'anarcho punk', 'hardcore punk', 'punk rock', 'harsh ebm', 'ukhc', 'uk82', 'rock']",hardcore,NM,,,,,True,False
10187950,Sobrepensante,El Egoísta,19,3545,04/06/23,2023,2020,Resiliencia,Argentina,grupo,['trap'],trap,M,1,0,1,Y,True,False
1018992,Hombres G,Marta Tiene Un Marcapasos,6,1524,24/03/86,1986,1980,La Cagaste... Burt Lancaster,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,NM,0,0,0,N,False,True
1019359,Azúcar Moreno,Enreda,6,1233,,1996,1990,Esclava de tu piel,España,grupo,"['pop', 'eurovision', 'flamenco', 'dance', 'duos', 'espagnol']",pop,M,1,0,1,Y,True,False
1020102,Hombres G,El Ataque De Las Chicas Cocodrilo,6,2030,28/04/86,1986,1980,La Cagaste... Burt Lancaster,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,NM,0,0,0,N,False,True
1020623,Los Tucanes De Tijuana,La Piñata,16,1358,,1997,1990,Tucanes de Plata,México,grupo,"['ranchera', 'norteño', 'corridos', 'regional mexican', 'mexican folk', 'corrido', 'los tucanes de tijuana', 'rancho']",ranchera,M,0,0,1,N,False,True
1021007,Sentidos Opuestos,Amor De Papel,4,584,01/01/98,1998,1990,Viento a favor,México,grupo,"['pop', 'latin pop', 'romantica', 'sentidos opuestos', 'dance', 'pop mexicano', 'buenisisimisima']",pop,NM,,,,,True,False
10211874,David Bisbal & Carlos Rivera,Ahora,8,1537,05/04/24,2024,2020,Premonición Live,España,hombre,"['pop', 'latin pop', 'davis bisbal', 'david bisbal', 'operacion triunfo', 'spanish pop', 'ballad']",pop,NM,,,,,True,False
10219172,La Fiera de Ojinaga,Calientita,4,738,29/03/24,2024,2020,Neta Que No,México,grupo,['regional mexican'],regional mexican,M,1,0,0,N,True,False
10241429,Sofos,Pétasse,12,3268,04/04/24,2024,2020,PAROLES PERTINENTES,Francia,mujer,"['gangsta rap', 'drill', 'hip hop', 'alternative hip hop', 'conscious hip hop', 'experimental hip hop', 'underground hip hop']",gangsta rap,M,0,0,1,N,True,False
1025383,Estopa,Tan Solo,7,1867,18/10/99,1999,1990,Estopa,España,grupo,"['flamenco', 'pop', 'rock', 'rumba', 'estopa', 'pop rock']",flamenco,NM,,,,,True,False
10254213,Raul Clyde & La Pantera,seadoO,9,2236,12/04/24,2024,2020,DESTINO 2014,España,hombre,"['reggaeton', 'rock', 'brazilian', 'brasil', 'south american', 'pop rock brasil', 'rock brasil', 'death by heart attack', 'death by diabetes', 'death by pancreatitis']",reggaeton,M,1,0,1,Y,True,False
10256708,Miilooz,"LOS CELOS, EL ODIO Y EL DAÑO",12,996,29/12/23,2023,2020,EL AMOR (CAP.1),México,hombre,['trap'],trap,NM,,,,,True,False
1025736,Hombres G,El Secreto de Vivir,9,913,16/11/10,2010,2010,Desayuno Continental,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,NM,,,,,True,False
10261980,Aitana & Sebastián Yatra,Akureyri,7,1408,26/04/24,2024,2020,Akureyri,España,mujer,"['pop', 'rock', 'pop rock', 'latin pop', 'trash pop', 'electro-pop', 'electropop', 'female vocals', '2020s']",pop,NM,,,,,True,False
10262050,Aitana,"Cuándo Será (Para La Película De Netflix ""Pared con Pared"")",6,789,12/04/24,2024,2020,"Volaré (De La Película De Netflix ""Más Allá De La Luna”)",España,mujer,"['pop', 'rock', 'pop rock', 'latin pop', 'trash pop', 'electro-pop']",pop,NM,,,,,True,False
10266126,Axolotes Mexicanos & Aiko el grupo,ROSAS Y ESPINAS,8,1043,26/04/24,2024,2020,4ever,España,grupo,"['tontipop', 'twee pop', 'bitpop', 'pop', 'acne pop', 'nocilla pop', 'pop naif', 'nonipop', 'indie rock']",tontipop,M,0,0,1,Y,False,True
1027408,Melendi,Mientras No Cueste Trabajo,7,2103,13/11/06,2006,2000,Mientras No Cueste Trabajo,España,hombre,"['pop', 'flamenco', 'new flamenco', 'rumba', 'melendi', 'rock']",pop,NM,,,,,True,False
1027566,Los Rodríguez,Me Estás Atrapando Otra Vez,7,1126,03/09/93,1993,1990,Sin Documentos,España,grupo,"['rock argentino', 'rock', 'rock en espanol', 'spanish rock', 'rock en español', 'pop']",rock argentino,NM,,,,,True,False
10292931,DelaJowy & Morad,Bandido,6,2211,18/04/24,2024,2020,Ojo por ojo,España,hombre,['drill'],drill,M,1,0,1,Y,True,False
103048,Julio Iglesias,Cucurrucucú paloma,4,711,,1975,1970,A México,España,hombre,"['pop', 'julio iglesias', 'latin pop', 'romantic', 'easy listening', 'tango']",pop,NM,,,,,True,False
10307322,tarchi,󠁪corazón partío,4,988,27/09/24,2024,2020,amor amor amor - EP,España,hombre,['trap'],trap,NM,0,0,0,N,False,True
10309833,Reality & Totoy El Frio,Dónde Estás?,7,2327,18/04/24,2024,2020,Igual Que Nadie,España,hombre,"['hardcore', 'australian', 'melodic hardcore', 'funk', 'anarcho punk', 'hardcore punk', 'punk rock', 'harsh ebm', 'ukhc', 'uk82', 'rock']",hardcore,NM,,,,,True,False
10322553,Ptazeta & Lucho RK,Do You Love Me?,9,2258,26/04/24,2024,2020,GORGONA,España,mujer,"['rap', 'pop', 'spanish rap', 'trap']",rap,M,1,0,1,Y,True,False
1032584,Thalía,Arrasando,12,2993,13/04/00,2000,2000,Arrasando,México,mujer,"['pop', 'latin pop', 'dance', 'thalia', 'sexy']",pop,NM,,,,,True,False
1033789,Vicente Fernández,Estos Celos,4,842,10/08/07,2007,2000,Para Siempre,México,hombre,"['ranchera', 'mariachi', 'don vicente fernandez', 'vicente fernandez', 'rancheras', 'por tu maldito amor']",ranchera,NM,0,0,0,N,False,True
10341256,La Pantera,CALIFORNIA,9,2357,03/05/24,2024,2020,UNA SEMANA INCREÍBLE,España,hombre,"['groove metal', 'heavy metal', 'thrash metal', 'metal', 'glam metal', 'southern metal', 'american', 'nu metal', 'power metal', 'hardcore punk', 'glam', 'dance and electronica', 'trash speed metal', 'estados unidos']",groove metal,M,1,0,0,N,False,True
1034640,Héroes Del Silencio,Hechizo,7,1118,04/12/90,1990,1990,Senderos de Traición,España,grupo,"['rock', 'spanish rock', 'hard rock', 'rock en espanol', 'gothic rock', 'rock en español', 'alternative rock', 'rock español']",rock,NM,,,,,True,False
10349763,DAPS (ESP),LiL SHiN CHaN,6,2168,02/05/24,2024,2020,3XL.manga i anime,España,grupo,['trap'],trap,M,1,0,1,Y,True,False
1036867,Los Rodríguez,Copa rota,6,1032,,1992,1990,Disco Pirata,España,grupo,"['rock argentino', 'rock', 'rock en espanol', 'spanish rock', 'rock en español', 'pop']",rock argentino,NM,,,,,True,False
10390204,Nathy Peluso,CORLEONE,3,727,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,,,,,True,False
10390205,Nathy Peluso,APRENDER A AMAR,4,1401,17/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,M,0,0,1,N,True,False
10390206,Nathy Peluso,REAL,9,1440,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,,,,,True,False
10390207,Nathy Peluso,LEGENDARIO,5,1534,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,,,,,True,False
10390209,Nathy Peluso & Ca7riel & Paco Amoroso,TODO ROTO,9,2464,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,M,0,1,1,N,True,False
10390211,Nathy Peluso,ENVIDIA,6,942,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,0,0,0,N,False,True
10390212,Nathy Peluso & Lua de Santana,MENINA,3,1778,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,,,,,True,False
10390214,Nathy Peluso & Duki,MANHATTAN,10,2433,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,0,0,0,N,False,True
10390215,Nathy Peluso & Blood Orange,EL DÍA QUE PERDÍ MI JUVENTUD,6,1109,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,NM,,,,,True,False
10390216,Nathy Peluso,LA PRESA,6,1227,24/05/24,2024,2020,GRASA,España,mujer,"['pop', 'rnb', 'argentinian', 'espana', 'from spain', 'spaniard', 'latin pop']",pop,M,0,1,1,N,True,False
10392640,Rvfv & David Bisbal,RUEDA,11,2370,30/05/24,2024,2020,EL TIBURÓN,España,hombre,"['rap', 'hip-hop', 'javilda', 'trap latino']",rap,M,0,0,1,Y,True,False
10403736,Ptazeta & Camin,Moncler,8,1863,16/05/24,2024,2020,GORGONA,España,mujer,"['rap', 'pop', 'spanish rap', 'trap']",rap,M,1,1,0,Y,True,False
1042611,Jeanette,Porque Te Vas,6,1064,03/09/74,1974,1970,Porque Te Vas / Seguiré Amando,España,mujer,"['pop', 'german', 'pop rock', 'jeanette biedermann', 'spanish pop', 'soundtrack', 'cria cuervos', 'oldies', 'lovely', 'first hand']",pop,NM,,,,,True,False
10428152,"Omar Montes, Las Chuches & Lola Indigo",EL PANTALON (RUMBAS),11,2368,30/05/24,2024,2020,LÁGRIMAS DE UN MALEANTE,España,hombre,"['reggaeton', 'neo soul', 'contemporary r&b', 'soul', 'hip hop rnb and dance hall']",reggaeton,M,1,0,0,N,True,False
10434777,Paulo Londra,Posdata:,9,1493,30/05/24,2024,2020,Posdata:,Argentina,hombre,"['trap', 'white rapper', 'trap latino', 'trap argentino', 'rap', 'cordoba', 'ended', 'messi']",trap,M,0,0,1,Y,True,False
1043582,Babasónicos,Suturno,9,1552,19/10/03,2003,2000,Infame,Argentina,grupo,"['rock argentino', 'rock', 'alternative', 'rock en espanol', 'rock en español', 'pop', 'alternative rock', 'babasonicos']",rock argentino,M,1,0,0,Y,True,False
1043584,Jenni Rivera,Mudanzas,4,1507,,2021,2020,JENNI,Estados Unidos,mujer,"['banda', 'regional mexican', 'pop', 'busty', 'big boobs', 'breasts', 'boobs']",banda,NM,,,,,True,False
1043683,Mónica Naranjo,Ámame o déjame,7,816,27/05/97,1997,1990,Palabra de Mujer,España,mujer,"['pop', 'dance', 'latin pop', 'monica naranjo', 'diva', 'latin frenzy']",pop,NM,,,,,True,False
1043846,David Bisbal,Lloraré Las Penas,20,1997,,2002,2000,Corazón Latino,España,hombre,"['pop', 'latin pop', 'davis bisbal', 'david bisbal', 'operacion triunfo', 'spanish pop']",pop,NM,,,,,True,False
1044174,Rubén Blades,Sin Tu Cariño,5,1213,,1979,1970,Bohemio y Poeta,Panamá,hombre,"['salsa', 'world', 'chillout', 'guitar', 'lounge', 'funky jazz', 'indie']",salsa,NM,0,0,0,N,False,True
1045947,José Alfredo Jiménez,La Media Vuelta,5,785,,1996,1990,Serenata Sin Luna,México,hombre,"['mariachi', 'ranchera', 'jose alfredo jimenez', 'classic', 'chillout', 'chill', 'chillosophy', 'global fusion']",mariachi,M,0,1,0,Y,True,False
10461738,Maisak & Feid,SE ME OLVIDA,8,2580,22/08/24,2024,2020,FERXXO VOL X: Sagrado,Colombia,hombre,"['pop', 'reggaeton']",pop,M,1,0,0,N,False,True
10471344,"Jere Klein, Lucky Brown & Adan La Amenaza",MUJER FINA,8,1604,30/05/24,2024,2020,ARES KLEIN,Chile,hombre,"['new wave', 'reggaeton', 'el mejor del genero', 'dogshit', 'que wea', 'musica para quedar terrible hardcore', 'mejor mierda amiga']",new wave,M,1,0,1,Y,True,False
1048359,Vilma Palma e Vampiros,Auto Rojo,9,1946,,1997,1990,3980,Argentina,grupo,"['rock en espanol', 'rock', 'pachanga', 'rock argentino', 'rock en español', 'pop', 'latin rock']",rock en espanol,M,1,0,0,N,True,False
1049234,Genitallica,Imagina,5,1077,,2017,2010,¿Picas o platicas?,México,grupo,"['alternative', 'rock', 'latin rock', 'rock en espanol', 'alternative rock', 'ska', 'rock en español']",alternative,M,1,0,0,N,True,False
10493625,La Pantera,2030,6,1683,07/06/24,2024,2020,UNA SEMANA INCREÍBLE,España,hombre,"['groove metal', 'heavy metal', 'thrash metal', 'metal', 'glam metal', 'southern metal', 'american', 'nu metal', 'power metal', 'hardcore punk', 'glam', 'dance and electronica', 'trash speed metal', 'estados unidos']",groove metal,M,1,1,0,N,True,False
1050006,Hombres G & Ha*Ash,Temblando,5,593,29/11/11,2011,2010,En La Playa,España,grupo,"['rock', 'rock en espanol', 'pop', 'spanish rock', 'rock en español', 'pop rock', 'spanish pop']",rock,NM,,,,,True,False
10503581,DAPS (ESP) & ​mauvetrip,LiL BaRT,5,1758,07/06/24,2024,2020,siivagunner's highest quality rips: volume,España,grupo,['trap'],trap,M,1,0,1,Y,False,True
1050461,Soda Stereo,Nada Personal,7,927,04/10/85,1985,1980,Nada Personal,NO,grupo,"['rock argentino', 'rock', 'rock en espanol', 'new wave', 'alternative rock', 'rock en español', 'shoegaze', 'soda stereo']",rock argentino,NM,,,,,True,False
10505135,Lola Indigo,LA REINA,12,1573,14/06/24,2024,2020,NAVE DRAGÓN,España,mujer,"['pop', 'dance', 'latin pop', 'reggaeton', 'lola indigo', 'brazilian funk', 'upcoming album 2023']",pop,M,1,1,1,Y,True,False
10505314,Lola Indigo,PESADILLAS,9,2082,13/09/24,2024,2020,NAVE DRAGÓN,España,mujer,"['pop', 'dance', 'latin pop', 'reggaeton', 'lola indigo', 'brazilian funk', 'upcoming album 2023']",pop,NM,,,,,True,False
1050623,Fly Project,Toca Toca,10,1329,18/09/13,2013,2010,Impreska Vol. 16,RO,grupo,"['dance', 'romanian', 'electronic', 'techno', 'electro house', 'house', 'electro', 'fly project', 'romaneasca', 'pop']",dance,NM,,,,,True,False
10517395,Ptazeta & Omar Montes,A Las 12,11,2405,20/06/24,2024,2020,GORGONA,España,mujer,"['rap', 'pop', 'spanish rap', 'trap']",rap,M,1,0,0,N,True,False
1053274,Cristian Castro,Con Tu Amor,9,1008,,1997,1990,El Camino del Alma,México,hombre,"['pop', 'latin pop', 'pop latino', 'cristian castro', 'romantica']",pop,NM,,,,,True,False
10551097,La Mafia del Amor,Intro (No Hay Futuro Sin Pasado),8,3032,20/06/24,2024,2020,LMDA 8*,España,grupo,"['pop', 'hip hop', 'electronic', 'reggaeton', 'mambo', 'trap']",pop,M,1,0,1,Y,True,False
10555495,Dani Fernández,Criminal,10,1034,21/06/24,2024,2020,La Jauría,España,hombre,"['little star', 'treble', 'twink', 'under 3000 plays', 'youngstar', 'under 90 listeners', 'sapanish', 'under 100 listeners', 'spanish male vocalists']",little star,NM,,,,,True,False
1055740,Rocío Jurado,Un clavel,8,1027,,2016,2010,Rocío Jurado (Un clavel),España,mujer,"['pop', 'flamenco', 'copla', 'female vocalist', 'world', 'oldies']",pop,NM,,,,,True,False
1056780,Rocío Jurado,Lo siento mi amor,6,731,,2016,2010,De ahora en adelante,España,mujer,"['pop', 'flamenco', 'copla', 'female vocalist', 'world', 'oldies']",pop,NM,,,,,True,True
1057319,Rocío Dúrcal,Como Tu Mujer,5,926,29/08/89,1989,1980,Como Tu Mujer,España,mujer,"['pop', 'rocio durcal', 'the ladies that should sit on my sofa or somewhere else in my flat because they are darlings and oh so lovely', 'ranchera']",pop,NM,,,,,True,False
1057382,Azúcar Moreno,Agua Que No Has De Beber,10,1204,,1998,1990,Olé,España,grupo,"['pop', 'eurovision', 'flamenco', 'dance', 'duos', 'espagnol']",pop,NM,0,0,0,N,False,True
10577376,Aitana,4TO 23,11,1465,05/07/24,2024,2020,Pop Latino Que La Rompe,España,mujer,"['pop', 'rock', 'pop rock', 'latin pop', 'trash pop', 'electro-pop']",pop,NM,0,0,0,N,False,True
10581521,Ptazeta & La Pantera,N'Golo,9,2356,21/06/24,2024,2020,GORGONA,España,grupo,"['rap', 'pop', 'spanish rap', 'trap']",rap,M,1,1,1,Y,True,False
10581606,Ptazeta,Matahari,8,2160,21/06/24,2024,2020,GORGONA,España,mujer,"['rap', 'pop', 'spanish rap', 'trap']",rap,M,1,0,1,Y,False,True
10585426,"Daby, La Pantera & Unknwnmade",Like Me,7,2892,27/06/24,2024,2020,Projects in the Jungle,Estados Unidos,grupo,['world'],world,NM,,,,,True,False
10587074,Bustamante,Hola Qué Tal,9,1510,20/06/24,2024,2020,Inedito,España,hombre,"['pop', 'operacion triunfo', 'latin pop', 'need to rate', 'david bustamante']",pop,NM,0,0,0,N,False,True
1058903,Los Bukis,Si Me Recuerdas,5,934,,1987,1980,Si Me Recuerdas,México,grupo,"['los bukis', 'romantica', 'mariachi', 'conjunto primavera', 'marco antonio solis']",los bukis,NM,,,,,True,False
10594256,Macaco,El Murmullo,5,1527,,2004,2000,Entre Raíces Y Antenas,España,grupo,"['fusion', 'world', 'mestizo', 'reggae', 'alternative', 'world music', 'macaco']",fusion,NM,,,,,True,False
1060525,Rocío Jurado,Ese Hombre,6,677,,1979,1970,Señora,España,mujer,"['pop', 'flamenco', 'copla', 'female vocalist', 'world', 'oldies']",pop,NM,,,,,True,False
1060748,Los Auténticos Decadentes,Besándote,11,1062,,2004,2000,Hoy Trasnoche,Argentina,grupo,"['rock argentino', 'rock', 'ska', 'rock en espanol', 'los autenticos decadentes', 'rock argento', 'cumbia', 'latin rock']",rock argentino,NM,0,0,0,N,False,True
1061144,Tego Calderón,Métele Sazón,9,3146,26/08/03,2003,2000,"Mas Flow, Vol. 1",Puerto Rico,hombre,"['reggaeton', 'hip-hop', 'hip hop', 'dance', 'world', 'chill906', 'indie']",reggaeton,M,1,0,0,Y,True,False
1061208,Los Tigres Del Norte,La dieta,9,1178,,1991,1990,¡Incansables!,Estados Unidos,grupo,"['norteño', 'corridos', 'folk', 'los tigres del norte', 'el nino y la boda', 'contrabando y traicion']",norteño,M,1,0,0,Y,True,False
1062199,"Boy Wonder CF (Ft. Randy & Tito ""El Bambino"")",Siente El Boom,13,2524,12/07/06,2006,2000,Chosen Few II: El Documental,Puerto Rico,hombre,"['soul', 'funk', 'contemporary r&b', 'rhythm & blues', 'pop', 'film soundtrack', 'pop soul', 'vegan', 'grammy winner', 'rock and indie']",soul,M,1,0,1,Y,False,True
10624636,Chromazz,Zorras,6,1837,26/07/22,2022,2020,Zorras,España,mujer,"['booba', 'hip-hop', 'thicc', 'female vocalist', 'toronto', 'canada', 'trap', 'onlyfans', 'trap queen']",booba,M,1,0,1,Y,True,False
1062691,David Bisbal,Bulería,11,2315,05/01/04,2004,2000,Bulería,España,hombre,"['pop', 'latin pop', 'davis bisbal', 'david bisbal', 'operacion triunfo', 'spanish pop']",pop,NM,0,0,0,N,False,True
10637817,Niche LS & Isaac S.A,Ya Saben Que Hacer,4,2363,27/08/20,2020,2020,Huellas del pasado,Colombia,grupo,"['rap', 'hip-hop', 'salsa']",rap,NM,,,,,True,False
1064072,José José,Por ella,8,998,,1999,1990,35 Años De Amor,México,hombre,"['bolero', 'jose jose', 'baladas', 'balada', 'el principe', 'latin pop']",bolero,NM,,,,,True,False
1064450,Mecano,No Hay Marcha En Nueva York,8,1386,,1988,1980,Descanso Dominical,España,grupo,"['pop', 'spanish pop', 'post-punk', 'new wave', 'mecano', 'synthpop']",pop,NM,,,,,True,False
10648028,"Albany, Yung Beef & l0rna",RIFLE BISEXUAL,12,5842,23/08/24,2024,2020,Rifle bisexual,España,mujer,"['trap', 'booba', 'reggaeton', 'emo trap', 'cloud rap', 'milkers', 'spanish trap', 'trap latino']",trap,M,1,1,1,Y,False,True
10654770,La Pantera,ASHE,6,2742,18/07/24,2024,2020,UNA SEMANA INCREÍBLE,España,hombre,"['groove metal', 'heavy metal', 'thrash metal', 'metal', 'glam metal', 'southern metal', 'american', 'nu metal', 'power metal', 'hardcore punk', 'glam', 'dance and electronica', 'trash speed metal', 'estados unidos']",groove metal,NM,,,,,True,False
1065508,Juan Gabriel,Te Lo Pido por Favor,7,855,28/11/86,1986,1980,Pensamientos,México,hombre,"['juan gabriel', 'mariachi', 'ranchera', 'pop', 'latin pop', 'pepe aguilar']",juan gabriel,NM,,,,,True,False
10655536,El Canijo de Jerez,Zapatos nuevos,5,873,14/10/14,2014,2010,La Lengua Chivata,España,hombre,"['pop', 'los he visionado en directo', 'flamenco']",pop,NM,,,,,True,False
10659258,Nanu,Mujer Argentina,11,1836,18/07/24,2024,2020,Seahorse,IE,grupo,"['pop', 'canada', 'singapore', 'booba', 'its the crazy latina']",pop,M,0,0,1,N,True,False
10667404,Club Santos,Te llevaré conmigo,8,1120,,1972,1970,Canto de los Guerreros,México,hombre,"['pop', 'new wave', 'blue-eyed soul', 'dance-pop', 'new romantic', 'pop soul', 'punk/new wave', 'alliteration', 'british', 'english', 'classic pop and rock']",pop,NM,,,,,True,False
1066810,Café Tacvba,Pinche Juan,4,346,28/07/92,1992,1990,Demo,México,grupo,"['alternative rock', 'rock', 'rock en espanol', 'rock en español', 'latin rock', 'folk']",alternative rock,NM,,,,,True,False
10677016,Belén Aguilera,LUNA x VÉRTIGO,13,1978,26/07/24,2024,2020,LUNA x VÉRTIGO,España,mujer,"['pop', 'spanish female vocalists', 'spanish or latin artists']",pop,M,1,0,1,Y,True,False
1068172,Botellita De Jerez,El Adicto,7,1248,,1999,1990,¡Naco es chido!,México,grupo,"['guacarrock', 'rock', 'rock mexicano', 'rock en español', 'rockmex', 'rock urbano', 'rock en espanol']",guacarrock,NM,,,,,True,False
