song_id,artist,title,group,n_verses,removal_reason,language,predicted_language,confidence
3598508,Kidd Keo,Igot,Grupo 1,7,predicted_non_spanish,en,en,0.9020861387252808
2826582,Kidd Keo,LOYAL,Grupo 1,6,predicted_non_spanish,en,en,0.9144042134284972
3397349,Kidd Keo,Superstars,Grupo 3,7,predicted_non_spanish,en,en,0.9615172147750854
3244790,Kidd Keo,Understand Me,Grupo 2,7,predicted_non_spanish,en,en,0.918877363204956
2468938,Kleerup,Carry On,Grupo 4,8,predicted_non_spanish,en,en,0.8487517237663269
6639870,La Mafia del Amor,Lookin Like This,Grupo 3,9,predicted_non_spanish,en,en,0.936268389225006
4256462,Lukas Graham,Love Someone (Spotify Singles),Grupo 4,8,predicted_non_spanish,en,en,0.9410514831542968
1391198,Mecano,Dis-Moi Lune D’Argent,Grupo 3,8,predicted_non_spanish,fr,fr,0.9887614846229552
1971602,Mecano,Figlio Della Luna (Hijo de la Luna),Grupo 3,11,predicted_non_spanish,it,it,0.9952978491783142
865982,Mecano,Figlio della luna,Grupo 2,9,predicted_non_spanish,it,it,0.9952806830406188
1846753,Mecano,Hijo De La Luna (Dis-Moi Lune D’argent),Grupo 3,8,predicted_non_spanish,fr,fr,0.9908431768417358
2231965,Mecano,Le 7 Septembre (El 7 de Septiembre),Grupo 2,7,predicted_non_spanish,fr,fr,0.9929975271224976
4431659,Mecano,The Uninvited Guest,Grupo 1,9,predicted_non_spanish,en,en,0.9699358940124512
1489727,Mecano,Une Femme Avec Une Femme,Grupo 2,10,predicted_non_spanish,fr,fr,0.992365300655365
1945579,Mecano,Une Femme Avec Une Femme (Mujer Contra Mujer),Grupo 3,10,predicted_non_spanish,fr,fr,0.992365300655365
784446,Miguel Bosé,Bravi ragazzi,Grupo 3,7,predicted_non_spanish,it,it,0.9957364797592164
2180853,Miguel Bosé,Morena Mía (Versione Italiana),Grupo 1,10,predicted_non_spanish,it,it,0.9941983222961426
785119,Miguel Bosé,Se Tu Non Torni,Grupo 4,8,predicted_non_spanish,it,it,0.9943897128105164
793977,Miguel Bosé,Senza Di Te,Grupo 2,6,predicted_non_spanish,es,it,0.9782714247703552
3503138,Nathy Peluso,Gimme Some Pizza,Grupo 4,6,predicted_non_spanish,en,it,0.9133626222610474
3503142,Nathy Peluso,La Passione,Grupo 2,5,predicted_non_spanish,en,en,0.982917845249176
4460215,Olivier Dion,Curious,Grupo 3,9,predicted_non_spanish,en,en,0.9536840915679932
4460221,Olivier Dion,Curious (Depuis qu’on se connait),Grupo 2,8,predicted_non_spanish,en,fr,0.99132639169693
3942048,Prop Dylan,Still,Grupo 3,7,predicted_non_spanish,en,en,0.8952050805091858
8107786,"Rocco Hunt, Elettra Lamborghini & Lola Indigo",Caramello,Grupo 3,10,predicted_non_spanish,it,it,0.9946832060813904
8293985,Sabina Ddumba,Best Friend,Grupo 3,7,predicted_non_spanish,en,en,0.9758948683738708
4513446,Sabina Ddumba,Blow My Mind,Grupo 1,12,predicted_non_spanish,en,en,0.9199205040931702
3429874,Sabina Ddumba,Brightside,Grupo 3,5,predicted_non_spanish,en,en,0.94222229719162
8185069,Sabina Ddumba,Cloud 9,Grupo 1,6,predicted_non_spanish,en,en,0.9583205580711364
6914872,Sabina Ddumba,Coast,Grupo 4,12,predicted_non_spanish,en,en,0.8950628042221069
4787251,Sabina Ddumba,Conversation,Grupo 3,10,predicted_non_spanish,en,en,0.894343376159668
6464436,Sabina Ddumba,Damn Good Woman,Grupo 1,9,predicted_non_spanish,en,en,0.9896432161331176
2895868,Sabina Ddumba,Did It For The Fame,Grupo 1,8,predicted_non_spanish,en,en,0.9536384344100952
2003591,Sabina Ddumba,Effortless,Grupo 2,10,predicted_non_spanish,en,en,0.9822971224784852
5004564,Sabina Ddumba,Forgotten Ones,Grupo 4,7,predicted_non_spanish,en,en,0.9899563789367676
2895863,Sabina Ddumba,Homeward Bound,Grupo 4,8,predicted_non_spanish,en,en,0.94422048330307
2895873,Sabina Ddumba,I Cry,Grupo 3,8,predicted_non_spanish,en,en,0.9713606238365172
8347497,Sabina Ddumba,Indifferent,Grupo 1,7,predicted_non_spanish,en,en,0.9842485785484314
3429872,Sabina Ddumba,"It’s Been Hurting All the Way With You, Joanna",Grupo 3,8,predicted_non_spanish,en,en,0.9819722771644592
3259876,Sabina Ddumba,Kingdom Come,Grupo 1,9,predicted_non_spanish,en,en,0.890657901763916
8171310,Sabina Ddumba,Lose You,Grupo 3,9,predicted_non_spanish,en,en,0.9812095761299132
2895865,Sabina Ddumba,Loyal Royal,Grupo 4,8,predicted_non_spanish,en,en,0.9347655773162842
3429873,Sabina Ddumba,Manboy,Grupo 2,7,predicted_non_spanish,en,en,0.953623354434967
2412207,Sabina Ddumba,Not Too Young,Grupo 4,9,predicted_non_spanish,en,en,0.9711052179336548
5237914,Sabina Ddumba,Pick Sides,Grupo 1,12,predicted_non_spanish,en,en,0.9474122524261476
8171010,Sabina Ddumba,Ride,Grupo 4,11,predicted_non_spanish,en,en,0.9527615308761596
3259878,Sabina Ddumba,Runaway,Grupo 3,10,predicted_non_spanish,en,en,0.982135534286499
2054438,Sabina Ddumba,Scarred For Life,Grupo 1,6,predicted_non_spanish,en,en,0.9915600419044496
3770133,Sabina Ddumba,Small World,Grupo 2,12,predicted_non_spanish,en,en,0.9419652819633484
6701829,Sabina Ddumba,Swishers,Grupo 4,7,predicted_non_spanish,en,en,0.97335284948349
2891022,Sabina Ddumba,Time,Grupo 1,6,predicted_non_spanish,en,en,0.9768502712249756
3259877,Sabina Ddumba,Want,Grupo 1,8,predicted_non_spanish,en,en,0.9495339393615724
3916833,Seinabo Sey,Good In You,Grupo 2,8,predicted_non_spanish,en,en,0.97560852766037
5806568,Sting,Fragile (Duet),Grupo 4,8,predicted_non_spanish,en,en,0.8679240345954895
8916223,YMN Gus & Yung Beef,El Mero Mero 2,Grupo 4,4,predicted_non_spanish,en,en,0.8552591800689697
4141489,YouTube,YouTube Rewind 2018: Everyone Controls Rewind,Grupo 2,11,predicted_non_spanish,en,en,0.8872639536857605
3356804,YouTube,YouTube Rewind: The Shape of 2017,Grupo 3,25,predicted_non_spanish,es,en,0.9127580523490906
6854962,Zoe Clark,Ruin My Life,Grupo 2,8,predicted_non_spanish,en,en,0.962893843650818
